i,j,mocoeff
22,7,  0.000000000000e+00
22,8,  0.000000000000e+00
22,9,  0.000000000000e+00
22,10,  0.000000000000e+00
22,11,  0.000000000000e+00
22,12,  0.000000000000e+00
22,13, -9.403663439990e-01
22,14,  0.000000000000e+00
22,15,  0.000000000000e+00
22,16,  0.000000000000e+00
22,17,  0.000000000000e+00
22,18,  0.000000000000e+00
22,19,  0.000000000000e+00
22,20,  0.000000000000e+00
22,21,  0.000000000000e+00
22,22, -7.866066167138e-01
22,23,  0.000000000000e+00
22,24,  0.000000000000e+00
22,25,  0.000000000000e+00
22,26,  0.000000000000e+00
23,0,  0.000000000000e+00
23,1,  0.000000000000e+00
23,2,  0.000000000000e+00
23,3,  0.000000000000e+00
23,4,  0.000000000000e+00
23,5,  0.000000000000e+00
23,6,  0.000000000000e+00
23,7,  0.000000000000e+00
23,8,  0.000000000000e+00
23,9,  0.000000000000e+00
23,10,  0.000000000000e+00
23,11,  0.000000000000e+00
23,12,  0.000000000000e+00
23,13,  0.000000000000e+00
23,14, -9.403663438258e-01
23,15,  0.000000000000e+00
23,16,  0.000000000000e+00
23,17,  0.000000000000e+00
23,18,  0.000000000000e+00
23,19,  0.000000000000e+00
23,20,  0.000000000000e+00
23,21,  0.000000000000e+00
23,22,  0.000000000000e+00
23,23, -7.866066169209e-01
23,24,  0.000000000000e+00
23,25,  0.000000000000e+00
23,26,  0.000000000000e+00
24,0,  0.000000000000e+00
24,1,  0.000000000000e+00
24,2,  0.000000000000e+00
24,3,  0.000000000000e+00
24,4,  0.000000000000e+00
24,5,  0.000000000000e+00
24,6,  0.000000000000e+00
24,7,  0.000000000000e+00
24,8,  0.000000000000e+00
24,9,  0.000000000000e+00
24,10,  0.000000000000e+00
24,11,  0.000000000000e+00
24,12,  0.000000000000e+00
24,13,  0.000000000000e+00
24,14,  0.000000000000e+00
24,15, -9.403663438946e-01
24,16,  0.000000000000e+00
24,17,  0.000000000000e+00
24,18,  0.000000000000e+00
24,19,  0.000000000000e+00
24,20,  0.000000000000e+00
24,21,  0.000000000000e+00
24,22,  0.000000000000e+00
24,23,  0.000000000000e+00
24,24, -7.866066168387e-01
24,25,  0.000000000000e+00
24,26,  0.000000000000e+00
25,0,  0.000000000000e+00
25,1,  0.000000000000e+00
25,2,  0.000000000000e+00
25,3,  0.000000000000e+00
25,4,  0.000000000000e+00
25,5,  0.000000000000e+00
25,6,  0.000000000000e+00
25,7,  0.000000000000e+00
25,8,  0.000000000000e+00
25,9,  0.000000000000e+00
25,10,  0.000000000000e+00
25,11,  0.000000000000e+00
25,12,  0.000000000000e+00
25,13,  0.000000000000e+00
25,14,  0.000000000000e+00
25,15,  0.000000000000e+00
25,16, -9.403663440201e-01
25,17,  0.000000000000e+00
25,18,  0.000000000000e+00
25,19,  0.000000000000e+00
25,20,  0.000000000000e+00
25,21,  0.000000000000e+00
25,22,  0.000000000000e+00
25,23,  0.000000000000e+00
25,24,  0.000000000000e+00
25,25, -7.866066166886e-01
